State,County,Democratic,Republican,Party
NV,eureka,0,10277.70133,0
TX,zavala,0,0,NAN
VA,king george,21821.01738,18791.4899,0
OH,hamilton,183666.0434,112373.7304,1
TX,austin,7294.616104,6194.051466,0
MI,barry,9797.257364,16250.70679,0
NM,valencia,11470.74897,18659.84993,0
TX,ellis,35078.15044,30208.58779,0
NJ,mercer,98910.73553,55169.14146,1
PA,cambria,27618.72344,29619.96603,0
IN,switzerland,0,85.51405774,0
NV,lander,0,16536.20647,0
NE,cherry,0,8094.362432,0
VA,radford city,18492.17437,2599.414865,0
FL,lee,145820.5085,99591.07035,0
MI,arenac,0,4640.139592,0
TX,shackelford,4694.879939,0,0
NJ,gloucester,70089.15972,62803.36398,1
OH,trumbull,39948.20218,36466.68937,0
OH,lawrence,5716.333563,16693.70783,0
ND,burke,159.6405994,5087.452531,0
TX,hardeman,0,0,NAN
NE,keya paha,0,0,NAN
VA,norton city,0,5583.628377,0
ND,bowman,1394.386565,7525.418043,0
UT,duchesne,0,9222.6456,0
MN,carlton,8265.846822,12686.02635,0
FL,okaloosa,50000.42759,36939.79635,1
TX,oldham,6182.522612,0,1
MT,lewis and clark,30079.22119,23448.4389,1
NY,rockland,87461.93605,58376.80533,1
TX,waller,11810.82155,0,0
VA,falls church city,63914.49396,34657.36251,1
PA,potter,0,1447.256596,0
MI,gratiot,2413.692683,9291.405539,0
MI,shiawassee,8507.446263,18816.85,0
MN,polk,9369.68327,11790.24296,0
ND,billings,4072.7044,8233.569333,0
ND,mckenzie,5771.471941,8025.120769,1
WY,weston,0,8114.91804,0
MT,jefferson,14431.07822,9862.175505,1
VT,bennington,20123.4604,13109.65813,0
FL,clay,45375.74938,39016.18568,0
AZ,yuma,34750.07863,24097.61345,1
TX,terrell,0,0,NAN
MA,bristol,119015.4325,83721.19586,1
WV,webster,0,0,NAN
TX,collingsworth,0,0,NAN
NY,chautauqua,26877.53743,24978.03375,0
TN,fayette,14084.3707,8538.018185,0
TX,bandera,7258.696188,8206.278931,1
NJ,union,128353.4487,71834.04196,1
TX,sherman,1051.438124,0,0
NY,seneca,6680.298332,10046.31152,1
TX,martin,0,808.0643434,0
UT,tooele,12263.69544,23699.82282,0
MD,talbot,24632.53192,17954.3368,1
FL,highlands,17140.74237,24337.20518,0
IN,gibson,1486.82803,10868.19343,0
MD,allegany,13077.10535,19289.11336,0
MI,mecosta,9268.361382,10096.58048,1
TX,jasper,0,5708.376193,0
DE,new castle,131409.3522,81949.65558,1
VA,warren,7417.597421,17734.36216,0
OH,ashtabula,12533.46273,19174.89961,0
WV,ohio,18657.63382,14789.54734,1
